,JOUR,LIBELLE_ARRET,NB_VALD,LIBELLE_JOUR_FERIE,MODALITE_GREVE,LIBELLE_FETE,LIBELLE_VACANCE,LIBELLE_CONFINEMENT,LIBELLE_COUVRE_FEU
17,2015-01-01,ARGENTINE,874,Jour de l’an,,,Noël,,
40,2015-01-01,BASTILLE,5962,Jour de l’an,,,Noël,,
46,2015-01-01,BERAULT,1136,Jour de l’an,,,Noël,,
115,2015-01-01,CHAMPS-ELYSEES-CLEMENCEAU,2994,Jour de l’an,,,Noël,,
121,2015-01-01,CHARLES DE GAULLE ETOILE,10962,Jour de l’an,,,Noël,,
127,2015-01-01,CHATEAU DE VINCENNES,2648,Jour de l’an,,,Noël,,
130,2015-01-01,CHATELET,4976,Jour de l’an,,,Noël,,
156,2015-01-01,CONCORDE,6640,Jour de l’an,,,Noël,,
210,2015-01-01,ESPLANADE DE LA DEFENSE,1811,Jour de l’an,,,Noël,,
233,2015-01-01,FRANKLIN-D.ROOSEVELT,6734,Jour de l’an,,,Noël,,
246,2015-01-01,GARE DE LYON,18520,Jour de l’an,,,Noël,,
254,2015-01-01,GEORGE V,4525,Jour de l’an,,,Noël,,
273,2015-01-01,HOTEL DE VILLE,7006,Jour de l’an,,,Noël,,
306,2015-01-01,LA DEFENSE-GRANDE ARCHE,15940,Jour de l’an,,,Noël,,
356,2015-01-01,LES SABLONS (JARDIN D'ACCLIMATATION),1904,Jour de l’an,,,Noël,,
374,2015-01-01,LOUVRE-RIVOLI,1257,Jour de l’an,,,Noël,,
454,2015-01-01,NATION,6777,Jour de l’an,,,Noël,,
481,2015-01-01,PALAIS ROYAL-MUSEE DU LOUVRE,3680,Jour de l’an,,,Noël,,
514,2015-01-01,PONT DE NEUILLY (AVENUE DE MADRID),2271,Jour de l’an,,,Noël,,
543,2015-01-01,PORTE DE VINCENNES,3490,Jour de l’an,,,Noël,,
546,2015-01-01,PORTE MAILLOT,4163,Jour de l’an,,,Noël,,
564,2015-01-01,REUILLY-DIDEROT,3106,Jour de l’an,,,Noël,,
601,2015-01-01,SAINT-MANDE-TOURELLE,2472,Jour de l’an,,,Noël,,
614,2015-01-01,SAINT-PAUL (LE MARAIS),3011,Jour de l’an,,,Noël,,
666,2015-01-01,TUILERIES,1320,Jour de l’an,,,Noël,,
735,2015-02-01,ARGENTINE,1591,,,,,,
758,2015-02-01,BASTILLE,11316,,,,,,
764,2015-02-01,BERAULT,2236,,,,,,
833,2015-02-01,CHAMPS-ELYSEES-CLEMENCEAU,4429,,,,,,
838,2015-02-01,CHARLES DE GAULLE ETOILE,11718,,,,,,
844,2015-02-01,CHATEAU DE VINCENNES,5050,,,,,,
847,2015-02-01,CHATELET,8740,,,,,,
873,2015-02-01,CONCORDE,4910,,,,,,
927,2015-02-01,ESPLANADE DE LA DEFENSE,2927,,,,,,
950,2015-02-01,FRANKLIN-D.ROOSEVELT,9469,,,,,,
963,2015-02-01,GARE DE LYON,35040,,,,,,
971,2015-02-01,GEORGE V,4605,,,,,,
991,2015-02-01,HOTEL DE VILLE,10034,,,,,,
1024,2015-02-01,LA DEFENSE-GRANDE ARCHE,37594,,,,,,
1074,2015-02-01,LES SABLONS (JARDIN D'ACCLIMATATION),3922,,,,,,
1092,2015-02-01,LOUVRE-RIVOLI,1920,,,,,,
1173,2015-02-01,NATION,9201,,,,,,
1200,2015-02-01,PALAIS ROYAL-MUSEE DU LOUVRE,8462,,,,,,
1233,2015-02-01,PONT DE NEUILLY (AVENUE DE MADRID),4321,,,,,,
1263,2015-02-01,PORTE DE VINCENNES,6824,,,,,,
1266,2015-02-01,PORTE MAILLOT,7872,,,,,,
1284,2015-02-01,REUILLY-DIDEROT,5455,,,,,,
1321,2015-02-01,SAINT-MANDE-TOURELLE,4582,,,,,,
