date,ferie,fete,greve,vacance,confinement,couvre_feu,nb_validation,num_jour,type_jour,num_mois,type_mois,annee
2015-01-01,Jour de l’an,Aucun,Aucun,Noël,Aucun,Aucun,124179,3,Jeudi,1,Janvier,2015
2015-01-02,Aucun,Aucun,Faible,Noël,Aucun,Aucun,383734,4,Vendredi,1,Janvier,2015
2015-01-03,Aucun,Aucun,Faible,Noël,Aucun,Aucun,284976,5,Samedi,1,Janvier,2015
2015-01-04,Aucun,Aucun,Aucun,Noël,Aucun,Aucun,219823,6,Dimanche,1,Janvier,2015
2015-01-05,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,623614,0,Lundi,1,Janvier,2015
2015-01-06,Aucun,Epiphanie,Aucun,Aucun,Aucun,Aucun,656505,1,Mardi,1,Janvier,2015
2015-01-07,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,673396,2,Mercredi,1,Janvier,2015
2015-01-08,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,672746,3,Jeudi,1,Janvier,2015
2015-01-09,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,644079,4,Vendredi,1,Janvier,2015
2015-01-10,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,348366,5,Samedi,1,Janvier,2015
2015-01-11,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,1017,6,Dimanche,1,Janvier,2015
2015-01-12,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,654450,0,Lundi,1,Janvier,2015
2015-01-13,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,677267,1,Mardi,1,Janvier,2015
2015-01-14,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,682529,2,Mercredi,1,Janvier,2015
2015-01-15,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,700329,3,Jeudi,1,Janvier,2015
2015-01-16,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,716732,4,Vendredi,1,Janvier,2015
2015-01-17,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,391521,5,Samedi,1,Janvier,2015
2015-01-18,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,241165,6,Dimanche,1,Janvier,2015
2015-01-19,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,671852,0,Lundi,1,Janvier,2015
2015-01-20,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,691285,1,Mardi,1,Janvier,2015
2015-01-21,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,683978,2,Mercredi,1,Janvier,2015
