annee,num_jour,type_jour,nb_validation
2015,0,Lundi,29767839
2015,1,Mardi,33268520
2015,2,Mercredi,33077005
2015,3,Jeudi,33208614
2015,4,Vendredi,32432620
2015,5,Samedi,17451317
2015,6,Dimanche,11522902
2016,0,Lundi,32700555
2016,1,Mardi,34455325
2016,2,Mercredi,34718621
2016,3,Jeudi,34711583
2016,4,Vendredi,33651985
2016,5,Samedi,18531505
2016,6,Dimanche,12897307
2017,0,Lundi,32373496
2017,1,Mardi,36020015
2017,2,Mercredi,35947904
2017,3,Jeudi,36616379
2017,4,Vendredi,35788084
2017,5,Samedi,19033867
2017,6,Dimanche,13209401
2018,0,Lundi,33338918
2018,1,Mardi,35317950
2018,2,Mercredi,35997305
2018,3,Jeudi,36234995
2018,4,Vendredi,36754944
2018,5,Samedi,19007076
2018,6,Dimanche,13353199
2019,0,Lundi,34965429
2019,1,Mardi,37455891
2019,2,Mercredi,36525340
2019,3,Jeudi,37346162
2019,4,Vendredi,36484090
2019,5,Samedi,19334521
2019,6,Dimanche,14018950
2020,0,Lundi,19064378
2020,1,Mardi,19871652
2020,2,Mercredi,19921160
2020,3,Jeudi,20516869
2020,4,Vendredi,19217529
2020,5,Samedi,11540885
2020,6,Dimanche,7556923
2021,0,Lundi,22315446
2021,1,Mardi,24370246
2021,2,Mercredi,24121066
2021,3,Jeudi,24196508
2021,4,Vendredi,23101427
2021,5,Samedi,15594265
2021,6,Dimanche,11192866
