JOUR;MODALITE_GREVE;
01/01/2019;Fort;
01/01/2020;Fort;
01/02/2018;Fort;
01/03/2018;Fort;
01/04/2016;Faible;
01/04/2018;Fort;
01/04/2020;Faible;
01/05/2018;Fort;
01/05/2020;Faible;
01/06/2016;Fort;
01/06/2018;Faible;
01/07/2017;Fort ;
01/07/2021;Fort;
01/07/2022;Fort;
01/10/2017;Faible;
01/12/2017;Fort;
01/12/2018;Fort;
02/01/2015;Faible;
02/01/2019;Fort;
02/01/2020;Fort;
02/02/2017;Fort;
02/02/2018;Fort;
02/04/2016;Faible;
02/04/2018;Fort;
02/04/2020;Faible;
02/05/2018;Fort;
02/05/2020;Faible;
02/06/2016;Fort;
02/06/2018;Faible;
02/07/2017;Fort;
02/10/2017;Faible;
02/12/2017;Faible;
02/12/2018;Fort;
03/01/2015;Faible;
03/01/2019;Fort;
03/01/2020;Fort;
03/02/2016;Faible;
03/02/2018;Fort;
03/03/2020;Fort;
03/04/2016;Faible;
03/04/2018;Fort;
03/04/2020;Faible;
03/05/2016;Faible;
03/05/2018;Fort;
03/05/2020;Faible;
03/06/2016;Fort;
03/06/2018;Faible;
03/06/2022;Fort;
03/07/2017;Fort;
03/07/2021;Faible;
03/08/2017;Faible;
03/10/2017;Faible;
03/11/2020;Faible;
03/12/2017;Faible;
03/12/2018;Fort;
04/01/2019;Fort;
04/01/2020;Fort;
04/02/2016;Faible;
04/02/2018;Fort;
04/02/2021;Fort;
04/04/2016;Faible;
04/04/2018;Fort;
04/04/2020;Faible;
04/05/2015;Faible;
04/05/2018;Fort;
04/05/2020;Faible;
04/06/2016;Fort;
04/06/2018;Faible;
04/06/2019;Fort;
04/07/2021;Faible;
04/07/2022;Fort;
04/10/2017;Faible;
04/12/2017;Faible;
04/12/2018;Fort;
05/01/2019;Fort;
05/01/2020;Fort;
05/02/2016;Faible;
05/02/2018;Fort;
05/02/2019;Faible;
05/04/2016;Faible;
05/04/2018;Fort;
05/04/2020;Faible;
05/05/2015;Faible;
05/05/2018;Fort;
05/05/2020;Faible;
05/06/2016;Fort;
05/06/2018;Faible;
05/07/2016;Fort;
05/07/2022;Fort;
05/09/2016;Faible;
05/10/2017;Faible;
05/10/2021;Fort;
05/12/2017;Faible;
05/12/2018;Fort;
05/12/2019;Fort;
06/01/2020;Fort;
06/02/2016;Faible;
06/02/2018;Fort;
06/02/2020;Fort;
06/03/2020;Faible;
06/04/2016;Faible;
06/04/2018;Fort;
06/04/2020;Faible;
06/04/2021;Faible;
06/05/2015;Faible;
06/05/2018;Fort;
06/05/2019;Faible;
06/05/2020;Faible;
06/06/2016;Fort;
06/06/2018;Faible;
06/07/2018;Fort;
06/09/2016;Faible;
06/10/2017;Faible;
06/10/2022;Faible;
06/12/2018;Fort;
06/12/2019;Fort;
07/01/2020;Fort;
07/02/2016;Faible;
07/02/2018;Fort;
07/03/2017;Faible;
07/04/2016;Faible;
07/04/2018;Fort;
07/04/2020;Faible;
07/05/2015;Faible;
07/05/2018;Fort;
07/05/2019;Faible;
07/05/2020;Faible;
07/06/2016;Fort;
07/06/2018;Faible;
07/07/2018;Fort;
07/09/2016;Faible;
07/10/2017;Faible;
07/12/2015;Faible;
07/12/2016;Fort;
07/12/2018;Fort;
07/12/2019;Fort;
08/01/2020;Fort;
08/02/2016;Faible;
08/02/2018;Fort;
08/03/2016;Fort;
08/03/2022;Faible;
08/04/2016;Faible;
08/04/2018;Fort;
08/04/2020;Faible;
08/05/2015;Faible;
08/05/2018;Fort;
08/05/2019;Faible;
08/05/2020;Faible;
08/06/2016;Fort;
08/06/2018;Faible;
08/09/2016;Faible;
08/10/2015;Faible;
08/10/2017;Faible;
08/12/2015;Faible;
08/12/2016;Fort;
08/12/2018;Fort;
08/12/2019;Fort;
09/01/2020;Fort;
09/02/2016;Faible;
09/02/2018;Fort;
09/03/2016;Fort;
09/04/2015;Faible;
09/04/2016;Faible;
09/04/2018;Fort;
09/04/2020;Faible;
09/05/2015;Faible;
09/05/2018;Fort;
09/05/2019;Faible;
09/05/2020;Faible;
09/06/2016;Fort;
09/06/2018;Faible;
09/09/2016;Faible;
09/10/2017;Faible;
09/10/2018;Fort;
09/12/2015;Faible;
09/12/2016;Fort;
09/12/2018;Fort;
09/12/2019;Fort;
10/01/2019;Faible;
10/01/2020;Fort;
10/02/2016;Faible;
10/02/2018;Fort;
10/03/2015;Fort;
10/03/2016;Fort;
10/04/2016;Faible;
10/04/2018;Fort;
10/04/2020;Faible;
10/05/2015;Faible;
10/05/2016;Fort;
10/05/2018;Fort;
10/05/2019;Faible;
10/05/2020;Faible;
10/06/2016;Fort;
10/06/2018;Faible;
10/09/2016;Faible;
10/10/2017;Faible;
10/11/2017;Faible;
10/11/2022;Fort;
10/12/2015;Faible;
10/12/2018;Fort;
10/12/2019;Fort;
11/01/2019;Faible;
11/01/2020;Fort;
11/02/2016;Faible;
11/02/2018;Fort;
11/02/2019;Faible;
11/04/2016;Faible;
11/04/2018;Fort;
11/04/2020;Faible;
11/05/2015;Faible;
11/05/2018;Fort;
11/05/2019;Faible;
11/05/2020;Faible;
11/06/2016;Fort;
11/06/2018;Faible;
11/07/2018;Fort;
11/09/2016;Faible;
11/10/2017;Faible;
11/12/2015;Fort;
11/12/2018;Fort;
11/12/2019;Fort;
12/01/2020;Fort;
12/02/2018;Fort;
12/03/2016;Fort;
12/04/2016;Faible;
12/04/2018;Fort;
12/04/2020;Faible;
12/05/2015;Faible;
12/05/2016;Fort;
12/05/2018;Fort;
12/05/2019;Faible;
12/05/2020;Faible;
12/06/2016;Fort;
12/06/2018;Faible;
12/09/2016;Faible;
12/09/2017;Fort;
12/10/2017;Faible;
12/12/2017;Fort;
12/12/2018;Fort;
12/12/2019;Fort;
13/01/2020;Fort;
13/02/2018;Fort;
13/04/2016;Faible;
13/04/2018;Fort;
13/04/2020;Faible;
13/05/2015;Faible;
13/05/2018;Fort;
13/05/2019;Faible;
13/05/2020;Faible;
13/06/2016;Fort;
13/06/2018;Faible;
13/09/2016;Faible;
13/10/2017;Faible;
13/12/2017;Fort;
13/12/2018;Fort;
13/12/2019;Fort;
14/01/2018;Faible;
14/01/2020;Fort;
14/02/2018;Fort;
14/03/2016;Faible;
14/04/2016;Faible;
14/04/2017;Fort;
14/04/2018;Fort;
14/04/2020;Faible;
14/05/2015;Faible;
14/05/2018;Fort;
14/05/2019;Faible;
14/05/2020;Faible;
14/06/2016;Fort;
14/06/2018;Faible;
14/09/2016;Faible;
14/09/2019;Fort;
14/10/2017;Faible;
14/11/2017;Faible;
14/12/2018;Fort;
14/12/2019;Fort;
14/12/2020;Fort;
15/01/2018;Faible;
15/01/2020;Fort;
15/02/2018;Fort;
15/02/2021;Faible;
15/04/2016;Faible;
15/04/2017;Fort;
15/04/2018;Fort;
15/04/2020;Faible;
15/05/2015;Faible;
15/05/2018;Fort;
15/05/2019;Faible;
15/05/2020;Faible;
15/06/2016;Fort;
15/06/2018;Faible;
15/09/2016;Faible;
15/10/2015;Faible;
15/10/2017;Faible;
15/11/2017;Faible;
15/12/2016;Faible;
15/12/2018;Fort;
15/12/2019;Fort;
16/01/2017;Faible;
16/01/2018;Faible;
16/01/2020;Fort;
16/02/2018;Fort;
16/04/2016;Faible;
16/04/2017;Fort ;
16/04/2018;Fort;
16/04/2020;Faible;
16/05/2015;Faible;
16/05/2018;Fort;
16/05/2019;Faible;
16/05/2020;Faible;
16/06/2015;Faible;
16/06/2016;Fort;
16/06/2018;Faible;
16/09/2016;Faible;
16/09/2019;Faible;
16/11/2017;Faible;
16/12/2016;Faible;
16/12/2018;Fort;
16/12/2019;Fort;
17/01/2020;Fort;
17/02/2018;Fort;
17/02/2020;Fort;
17/03/2016;Faible;
17/03/2022;Fort;
17/04/2016;Faible;
17/04/2017;Fort ;
17/04/2018;Fort;
17/04/2020;Faible;
17/05/2015;Faible;
17/05/2016;Fort;
17/05/2018;Fort;
17/05/2019;Faible;
17/05/2020;Faible;
17/06/2015;Faible;
17/06/2016;Fort;
17/06/2018;Faible;
17/09/2016;Faible;
17/09/2020;Fort;
17/10/2022;Fort;
17/11/2017;Faible;
17/11/2018;Fort;
17/11/2021;Fort;
17/12/2016;Faible;
17/12/2018;Fort;
17/12/2019;Fort;
17/12/2020;Fort;
18/01/2020;Fort;
18/02/2018;Fort;
18/02/2022;Fort;
18/03/2016;Faible;
18/04/2016;Faible;
18/04/2017;Fort;
18/04/2018;Fort;
18/04/2020;Faible;
18/05/2015;Faible;
18/05/2016;Fort;
18/05/2018;Fort;
18/05/2019;Faible;
18/05/2020;Faible;
18/06/2015;Faible;
18/06/2016;Fort;
18/06/2018;Faible;
18/09/2016;Faible;
18/09/2018;Fort;
18/10/2019;Fort;
18/10/2022;Fort;
18/11/2015;Fort;
18/11/2017;Faible;
18/11/2018;Fort;
18/12/2015;Faible;
18/12/2016;Faible;
18/12/2018;Fort;
